TIME,BNO055_ax_world,BNO055_ay_world,BNO055_az_world,BNO055_ax_body,BNO055_ay_body,BNO055_az_body,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,Q0,Q1,Q2,Q3,MPU9250_ax_body,MPU9250_ay_body,MPU9250_az_body,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-06-01 12:08:26.000,1.38024,1.04056,8.87081,-0.43097,6.34007,-6.42627,5.24902,-2.68555,-21.66748,-48.0,109.0,-400.0,6746.0,14458.0,3703.0,-429.0,-0.37351,6.93386,-5.34405,9.64355,-14.09912,-34.42383,88.0,85.0,-92.0
2024-06-01 12:08:26.100,1.73153,-1.993,9.72183,-1.74304,8.77267,-4.63534,4.88281,-2.68555,-22.03369,-340.0,748.0,-554.0,6750.0,14287.0,4327.0,-213.0,-1.80529,9.56278,-5.62657,28.9917,-40.64941,-31.98242,87.0,82.0,-91.0
2024-06-01 12:08:26.200,-0.00667,0.05896,9.22692,-1.98247,7.02005,-5.65052,6.34766,-1.2207,-22.03369,-1085.0,437.0,-101.0,7253.0,13957.0,4577.0,288.0,-2.11176,7.76707,-4.63055,65.73486,-28.50342,-12.81738,86.0,83.0,-94.0
2024-06-01 12:08:26.300,-0.94498,-0.30938,7.6278,-2.54752,5.74629,-4.43422,5.92041,0.18311,-21.24023,-31.0,112.0,-72.0,7569.0,13694.0,4823.0,602.0,-2.64329,6.5364,-4.2331,5.12695,-4.08936,-5.37109,83.0,79.0,-93.0
2024-06-01 12:08:26.400,-0.11849,1.40497,10.88817,-1.79093,8.15015,-7.13498,7.01904,0.18311,-20.38574,-322.0,-691.0,432.0,7745.0,13705.0,4523.0,421.0,-2.32725,8.54282,-7.16371,22.27783,44.43359,26.36719,81.0,82.0,-93.0
2024-06-01 12:08:26.500,-2.02182,1.47213,7.99273,-3.03596,5.34405,-5.68883,5.92041,1.34277,-21.85059,-402.0,-907.0,299.0,8242.0,13588.0,3983.0,120.0,-3.5196,4.08465,-5.65052,21.66748,60.05859,21.54541,81.0,85.0,-93.0
2024-06-01 12:08:26.600,-0.67538,4.08126,10.92185,-2.46133,7.10624,-8.93548,4.45557,1.95312,-21.54541,1071.0,-1729.0,678.0,8255.0,13803.0,3029.0,-780.0,-0.95771,6.51246,-8.71521,-73.48633,102.11182,50.72021,82.0,87.0,-95.0
2024-06-01 12:08:26.700,6.21349,1.19989,8.49394,4.08944,7.39356,-6.38796,0.85449,0.18311,-22.52197,865.0,-1265.0,1877.0,7476.0,14443.0,1248.0,-1542.0,4.80773,9.23237,-4.05113,-47.72949,63.35449,104.55322,86.0,93.0,-93.0
2024-06-01 12:08:26.800,3.96159,0.80118,7.62944,2.21232,6.04318,-5.75587,-2.68555,-2.92969,-22.52197,641.0,419.0,-630.0,7088.0,14661.0,886.0,-1569.0,1.31686,5.11899,-5.27222,-35.52246,-30.57861,-34.91211,87.0,93.0,-92.0
2024-06-01 12:08:26.900,-3.66292,-1.59587,9.88425,-5.63136,7.56595,-4.97054,-1.34277,-3.2959,-22.52197,383.0,381.0,198.0,6693.0,14857.0,1154.0,-1257.0,-5.6984,6.05755,-5.12856,-33.93555,-21.42334,14.70947,90.0,94.0,-95.0
2024-06-01 12:08:27.000,-0.25483,-1.86236,9.46622,-1.79093,7.74791,-5.46855,0.48828,-4.76074,-21.72852,857.0,-217.0,673.0,6071.0,15161.0,703.0,-1107.0,-1.72389,8.61943,-5.47334,-41.68701,9.82666,35.88867,91.0,90.0,-94.0
2024-06-01 12:08:27.100,-1.88477,-0.56637,9.81026,-3.27538,6.76147,-6.60823,-0.24414,-6.53076,-21.72852,-5.0,-383.0,367.0,5840.0,15260.0,261.0,-1176.0,-3.58185,6.56514,-6.76147,-1.95312,22.15576,20.44678,92.0,92.0,-95.0
2024-06-01 12:08:27.200,-0.33874,0.04203,10.02688,-1.98247,6.81893,-7.08709,-2.31934,-5.7373,-21.72852,-318.0,-637.0,208.0,6053.0,15149.0,-149.0,-1514.0,-2.21232,6.88118,-6.74231,20.50781,39.85596,13.30566,93.0,94.0,-97.0
2024-06-01 12:08:27.300,0.82751,1.63763,9.06588,-1.06306,5.29616,-7.50848,-2.68555,-5.06592,-21.3623,-89.0,-342.0,-55.0,6280.0,15023.0,-337.0,-1788.0,-1.09179,5.54996,-7.38398,10.00977,20.87402,-2.13623,92.0,95.0,-93.0
2024-06-01 12:08:27.400,3.37885,-1.76652,10.90894,1.45573,9.1366,-6.92428,-4.57764,-5.43213,-20.56885,-572.0,425.0,-98.0,6287.0,15019.0,-295.0,-1800.0,1.33601,9.75911,-6.58908,28.86963,-21.78955,-4.94385,90.0,94.0,-96.0
2024-06-01 12:08:27.500,-0.18167,1.46069,10.37696,-1.93458,6.6657,-7.85326,-2.31934,-3.96729,-21.24023,-210.0,681.0,-293.0,6652.0,14906.0,64.0,-1415.0,-2.0974,6.50288,-8.36085,19.47021,-40.89355,-17.57812,90.0,93.0,-94.0
2024-06-01 12:08:27.600,-1.66727,-1.05073,9.40326,-3.02638,7.89157,-4.5683,-2.13623,-5.06592,-22.82715,-1090.0,-243.0,88.0,7238.0,14640.0,208.0,-1291.0,-3.38073,7.75749,-4.9035,69.70215,14.22119,4.69971,86.0,94.0,-94.0
2024-06-01 12:08:27.700,1.05088,0.1439,6.60915,-0.14366,5.43982,-3.8979,-3.60107,-1.34277,-22.03369,117.0,-329.0,-89.0,7646.0,14402.0,88.0,-1593.0,-0.28253,5.04237,-2.95455,-5.67627,21.60645,-6.95801,85.0,94.0,-94.0
2024-06-01 12:08:27.800,-0.52411,-0.31673,10.66229,-2.46133,8.73436,-5.63136,-3.90625,-0.67139,-23.13232,556.0,-217.0,-87.0,7465.0,14477.0,-77.0,-1764.0,-2.60977,9.20843,-6.2012,-32.40967,12.75635,-3.35693,86.0,95.0,-96.0
