TIME,BNO055_ax_world,BNO055_ay_world,BNO055_az_world,BNO055_ax_body,BNO055_ay_body,BNO055_az_body,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,Q0,Q1,Q2,Q3,MPU9250_ax_body,MPU9250_ay_body,MPU9250_az_body,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-04-06 08:24:59.000,0.3381,0.31187,9.52654,0.90025,-1.23545,-9.41434,-7.87354,8.8501,-19.77539,6,-32,319,706,5903,-15201,1417.0,1.7622,-1.41263,-8.89238,-0.24414,-0.06104,19.40918,288,-49,150
2024-04-06 08:24:59.100,0.27278,0.47122,9.41048,0.64167,-1.03433,-9.3473,-7.50732,7.69043,-19.53125,-84,-32,324,577,5645,-15312,1340.0,1.47967,-1.20193,-8.69605,5.49316,-2.80762,20.26367,285,-49,150
2024-04-06 08:24:59.200,-0.08509,-0.10426,9.44894,1.17799,-1.12053,-9.30899,-6.83594,9.15527,-19.53125,-206,-15,437,550,5346,-15431,1196.0,2.11176,-1.51798,-8.62901,13.48877,-4.15039,27.9541,283,-51,151
2024-04-06 08:24:59.300,-0.0301,-0.62244,9.52076,1.39826,-1.43657,-9.32814,-5.7373,8.8501,-19.53125,-185,16,522,591,4939,-15575,1047.0,2.23626,-1.92501,-8.5476,9.27734,-6.71387,34.05762,286,-53,150
2024-04-06 08:24:59.400,-0.0908,-0.52691,9.37125,1.37911,-1.35996,-9.18449,-4.94385,10.31494,-18.06641,-88,149,1055,661,4267,-15770,1046.0,2.11655,-1.70473,-8.5093,9.64355,-11.90186,64.02588,284,-55,152
2024-04-06 08:24:59.500,0.78464,-0.05421,9.12586,0.29689,-1.37911,-9.05041,-2.80762,10.74219,-18.73779,109,5,929,684,3384,-15980,1074.0,1.36474,-1.49882,-8.77746,-0.48828,0.12207,57.43408,284,-55,151
2024-04-06 08:24:59.600,0.56622,-0.38138,8.96255,0.32562,-1.54192,-8.84929,-2.44141,9.64355,-19.53125,-193,-162,720,531,2567,-16141,1017.0,0.64646,-0.69913,-8.28423,17.51709,4.39453,31.49414,282,-58,149
2024-04-06 08:24:59.700,1.9948,-0.4615,9.63049,-1.03433,-1.89628,-9.60588,-1.64795,11.47461,-18.06641,-67,33,-294,503,2482,-16167,815.0,-0.00958,-1.36474,-8.46141,-1.83105,-11.1084,-22.64404,281,-57,148
2024-04-06 08:24:59.800,0.02817,-0.37844,9.35608,1.11095,-1.44615,-9.18449,-2.01416,11.47461,-19.77539,701,432,-935,686,3047,-16046,1102.0,2.3895,-2.00162,-8.97858,-39.67285,-29.41895,-50.04883,283,-57,150
2024-04-06 08:24:59.900,-1.14986,0.31457,9.30179,2.19317,-0.72786,-9.08871,-2.80762,10.49805,-18.31055,393,164,-66,825,3470,-15917,1533.0,2.96892,-1.20672,-8.59549,-16.23535,-12.93945,8.8501,285,-56,150
2024-04-06 08:25:00.000,-0.30674,0.45882,9.32357,1.56108,-0.89067,-9.16533,-2.44141,9.33838,-20.20264,-128,86,236,1004,3320,-15942,1499.0,2.26021,-1.10616,-8.60028,11.96289,-9.15527,12.87842,284,-55,151
2024-04-06 08:25:00.100,0.58673,0.17136,9.64799,0.91941,-1.27376,-9.53884,-1.64795,10.49805,-20.20264,-419,12,206,1079,3087,-16005,1259.0,1.65206,-1.7191,-8.87323,24.96338,-5.00488,12.87842,281,-59,151
2024-04-06 08:25:00.200,0.89845,-0.46584,9.6162,0.73744,-1.69516,-9.49095,-1.64795,10.13184,-19.104,-309,94,103,1055,2837,-16070,1010.0,1.76698,-1.61854,-8.65295,15.80811,-12.02393,2.74658,283,-60,149
2024-04-06 08:25:00.300,0.35919,-0.45132,9.37845,1.22588,-1.37911,-9.21322,-1.34277,10.49805,-18.73779,-43,2,-235,1086,2881,-16065,936.0,2.05909,-1.60896,-8.53324,-0.91553,-5.24902,-14.22119,282,-59,149
2024-04-06 08:25:00.400,0.26421,0.10427,9.58567,1.17799,-0.92898,-9.4718,-0.97656,10.49805,-19.53125,57,56,-6,1086,2963,-16045,1012.0,1.95853,-1.09179,-8.74873,-3.23486,-8.54492,0.67139,282,-58,150
2024-04-06 08:25:00.500,0.38378,0.12682,9.34268,1.01518,-0.90983,-9.25153,-1.64795,10.13184,-18.31055,-53,23,6,1083,2954,-16048,995.0,1.94416,-1.20672,-8.52845,2.38037,-6.28662,0.85449,282,-56,150
2024-04-06 08:25:00.600,0.14894,-0.17655,9.29368,1.3408,-1.07264,-9.1366,-1.64795,10.80322,-19.104,-42,60,73,1102,2894,-16060,968.0,2.23626,-1.39826,-8.38,1.77002,-8.66699,5.24902,281,-59,151
2024-04-06 08:25:00.700,0.16354,-0.21795,9.14606,1.32165,-1.1301,-8.98337,-1.34277,11.23047,-18.06641,25,-24,50,1108,2807,-16073,988.0,2.0974,-1.22588,-8.44226,-3.11279,-3.60107,2.68555,281,-59,149
2024-04-06 08:25:00.800,0.27284,0.09353,9.39923,1.09179,-0.96729,-9.28983,-0.67139,10.13184,-17.63916,64,-49,-6,1045,2765,-16082,1034.0,1.92501,-1.19714,-8.67211,-4.76074,-2.56348,0.36621,282,-56,149
2024-04-06 08:25:00.900,0.2044,0.10178,9.31349,1.07264,-0.96729,-9.20364,-0.97656,10.49805,-19.53125,22,-48,-1,982,2731,-16090,1057.0,1.9681,-1.23066,-8.61465,-2.38037,-1.95312,0.48828,281,-60,148
