TIME,BNO055_ax_world,BNO055_ay_world,BNO055_az_world,BNO055_ax_body,BNO055_ay_body,BNO055_az_body,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,Q0,Q1,Q2,Q3,MPU9250_ax_body,MPU9250_ay_body,MPU9250_az_body,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-17 13:52:57.000,-0.09988,-0.17004,9.3862,2.15486,1.77177,-8.96421,14.52637,-10.80322,-12.45117,8,-6,24,509,14648,6872,2527,2.83484,2.33204,-9.16533,1.77002,1.34277,1.70898,28,-15,-68
2024-05-17 13:52:57.100,-0.17607,-0.10311,9.45485,2.16444,1.68558,-9.05041,13.85498,-10.43701,-13.24463,1,-12,1,515,14652,6868,2517,2.89709,2.20274,-9.26589,2.0752,1.83105,0.36621,27,-15,-68
2024-05-17 13:52:57.200,-0.06233,-0.03252,9.42776,2.26021,1.70473,-8.99294,15.31982,-10.00977,-14.70947,12,-14,17,513,14661,6855,2495,3.00722,2.32246,-9.18927,1.40381,1.95312,1.58691,27,-12,-67
2024-05-17 13:52:57.300,-0.06999,-0.21002,9.39856,2.10697,1.8005,-8.98337,15.19775,-10.80322,-15.13672,11,-7,6,510,14666,6849,2486,2.81568,2.39908,-9.3042,1.52588,1.52588,0.67139,26,-13,-67
2024-05-17 13:52:57.400,-0.08085,-0.05036,9.46642,2.23148,1.70473,-9.04083,14.16016,-10.43701,-13.5498,-5,8,0,515,14666,6850,2482,2.97849,2.24584,-9.19406,2.56348,0.73242,0.24414,28,-13,-67
2024-05-17 13:52:57.500,-0.09907,-0.12058,9.4461,2.16444,1.73346,-9.03125,14.89258,-11.23047,-14.34326,-2,14,3,514,14664,6853,2484,2.85399,2.24584,-9.33772,2.2583,0.48828,0.73242,25,-11,-69
2024-05-17 13:52:57.600,-0.07404,-0.11241,9.44124,2.17401,1.74304,-9.02167,14.52637,-10.80322,-13.24463,-2,-17,15,517,14669,6845,2474,2.90188,2.28894,-9.28026,2.38037,2.31934,1.15967,29,-13,-68
2024-05-17 13:52:57.700,-0.05201,-0.0824,9.41469,2.18359,1.73346,-8.99294,14.89258,-10.43701,-13.5498,1,-11,12,524,14674,6841,2457,2.92103,2.29373,-9.20364,2.19727,1.89209,1.15967,26,-14,-70
2024-05-17 13:52:57.800,-0.05749,-0.05533,9.46554,2.21232,1.72389,-9.04083,12.69531,-10.43701,-14.4043,-11,3,11,528,14678,6831,2457,2.98807,2.23626,-9.25153,3.05176,0.79346,0.97656,28,-13,-69
2024-05-17 13:52:57.900,-0.14922,-0.08914,9.48562,2.1357,1.68558,-9.08871,11.96289,-10.00977,-14.4043,1,11,8,532,14681,6824,2458,2.8061,2.31767,-9.27068,2.13623,0.36621,0.30518,29,-14,-68
2024-05-17 13:52:58.000,-0.03709,-0.11925,9.47264,2.18359,1.8005,-9.04083,14.52637,-10.43701,-14.70947,-17,16,-22,540,14674,6836,2469,2.88751,2.36077,-9.24195,2.80762,0.36621,-1.2207,27,-12,-71
2024-05-17 13:52:58.100,-0.05618,-0.06462,9.35436,2.18359,1.75262,-8.9259,14.89258,-10.80322,-14.03809,-15,6,-37,556,14662,6856,2478,2.88272,2.28894,-9.08871,2.50244,0.42725,-2.38037,25,-15,-67
2024-05-17 13:52:58.200,-0.14546,-0.07845,9.39924,2.1357,1.71431,-8.99294,14.16016,-10.43701,-13.24463,1,18,-30,557,14645,6890,2488,2.84441,2.26978,-9.22279,1.83105,0.54932,-1.15967,29,-14,-70
2024-05-17 13:52:58.300,-0.12576,-0.03754,9.41597,2.17401,1.70473,-9.00252,14.89258,-9.76562,-14.4043,15,-6,-18,557,14638,6906,2481,2.86836,2.28415,-9.18927,0.97656,1.40381,-0.73242,27,-11,-68
2024-05-17 13:52:58.400,0.01163,-0.14692,9.41509,2.16444,1.85797,-8.97379,15.19775,-10.43701,-13.18359,22,-3,-14,542,14632,6925,2468,2.83962,2.41344,-9.23716,1.2207,1.28174,-0.18311,26,-13,-69
2024-05-17 13:52:58.500,-0.05836,-0.12103,9.47507,2.15486,1.8005,-9.05041,14.89258,-10.80322,-13.5498,-2,4,-18,541,14627,6937,2467,2.87314,2.32725,-9.21801,2.01416,0.67139,-0.79346,27,-15,-70
2024-05-17 13:52:58.600,-0.08798,-0.13911,9.45498,2.11655,1.79093,-9.04083,14.52637,-11.23047,-12.87842,-4,12,-24,543,14619,6953,2468,2.79653,2.32725,-9.15575,2.19727,0.54932,-1.0376,29,-15,-70
2024-05-17 13:52:58.700,-0.08551,-0.06478,9.42108,2.16444,1.74304,-9.00252,14.52637,-10.00977,-14.52637,-6,5,-9,545,14612,6966,2468,2.88272,2.22669,-9.28983,2.44141,0.91553,-0.42725,26,-13,-70
2024-05-17 13:52:58.800,-0.06703,-0.07676,9.41556,2.16444,1.7622,-8.99294,14.52637,-10.43701,-14.4043,6,-5,14,545,14615,6961,2467,2.85878,2.31288,-9.20364,2.01416,1.46484,1.28174,27,-14,-68
2024-05-17 13:52:58.900,-0.09518,-0.1811,9.37916,2.05909,1.8005,-8.97379,15.625,-11.23047,-13.67188,1,4,-12,545,14616,6959,2467,2.76301,2.38471,-9.33293,2.0752,0.91553,-0.06104,28,-12,-68
2024-05-17 13:52:59.000,-0.0108,-0.01288,9.41574,2.24105,1.7622,-8.97379,15.19775,-9.76562,-14.52637,13,6,-3,545,14613,6968,2462,3.02638,2.32246,-9.22758,1.52588,0.61035,0.42725,28,-13,-70
2024-05-17 13:52:59.100,-0.01439,-0.18848,9.36259,2.0974,1.85797,-8.93548,14.16016,-10.43701,-14.16016,5,22,-10,539,14609,6974,2466,2.7678,2.3895,-9.16533,1.83105,0.06104,0.0,26,-13,-68
2024-05-17 13:52:59.200,-0.08682,-0.06529,9.43022,2.16444,1.74304,-9.0121,14.52637,-10.43701,-12.75635,-6,5,3,544,14611,6970,2467,2.88751,2.30809,-9.17491,2.80762,0.91553,0.91553,27,-14,-71
2024-05-17 13:52:59.300,-0.06051,-0.07715,9.45618,2.17401,1.77177,-9.03125,14.89258,-11.23047,-15.13672,6,8,15,543,14613,6967,2463,2.84441,2.32246,-9.24674,2.01416,0.67139,1.40381,27,-14,-70
2024-05-17 13:52:59.400,-0.05304,-0.08107,9.40826,2.16444,1.77177,-8.98337,14.89258,-10.00977,-12.75635,-9,-3,24,546,14620,6951,2463,2.87793,2.33682,-9.25153,2.56348,1.52588,1.83105,26,-12,-69
2024-05-17 13:52:59.500,0.01627,-0.13045,9.43579,2.17401,1.85797,-8.99294,15.01465,-10.80322,-14.03809,-4,0,15,547,14628,6935,2461,2.87793,2.38471,-9.17012,2.38037,1.15967,1.2207,27,-13,-68
2024-05-17 13:52:59.600,-0.0157,-0.11766,9.39668,2.15486,1.81966,-8.96421,14.22119,-10.80322,-14.70947,-5,5,5,548,14628,6935,2461,2.86357,2.35119,-9.21322,2.50244,0.73242,0.73242,26,-12,-69
