TIME,BNO055_ax_world,BNO055_ay_world,BNO055_az_world,BNO055_ax_body,BNO055_ay_body,BNO055_az_body,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,Q0,Q1,Q2,Q3,MPU9250_ax_body,MPU9250_ay_body,MPU9250_az_body,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-10-15 11:51:48.000,0.32479,0.21734,9.29949,-2.32725,-2.36556,-8.69605,-10.25391,-16.6626,-3.41797,-253,-445,283,2310,-15625,3997,1729,-1.86754,-2.91624,-9.29462,11.96289,28.56445,20.87402,41,35,118
2024-10-15 11:51:48.100,1.2948,0.51156,9.1458,-1.86754,-2.67202,-8.65774,-10.62012,-16.29639,-3.78418,-395,-107,184,2025,-15604,4086,2041,-1.52756,-3.1844,-8.83971,23.86475,8.8501,12.87842,39,37,119
2024-10-15 11:51:48.200,2.23278,0.31894,8.15455,-0.78533,-2.49964,-8.0448,-11.59668,-16.6626,-4.45557,-439,-167,-110,1744,-15629,4028,2211,-0.52195,-3.06469,-8.49014,24.71924,11.65771,-5.43213,39,36,120
2024-10-15 11:51:48.300,1.90498,0.90884,8.81739,-1.64727,-2.51879,-8.55239,-11.2915,-15.19775,-6.04248,-297,-146,-222,1394,-15664,3899,2434,-1.0056,-2.9354,-8.4231,19.40918,11.23047,-9.94873,39,37,122
2024-10-15 11:51:48.400,0.55848,1.39415,10.14478,-3.29454,-2.56668,-9.36645,-9.82666,-15.625,-6.40869,99,106,-1049,1414,-15794,3315,2446,-3.17482,-3.39031,-9.69686,-4.39453,-1.95312,-60.30273,41,34,122
2024-10-15 11:51:48.500,-0.06349,2.30905,10.17809,-3.85001,-3.97452,-8.84929,-8.48389,-16.29639,-5.61523,514,-71,-908,1909,-15907,2512,2336,-3.65847,-4.74069,-9.10308,-32.22656,7.87354,-53.28369,41,34,121
2024-10-15 11:51:48.600,0.3467,1.06398,9.80491,-2.59541,-3.31369,-8.9259,-7.69043,-17.76123,-5.24902,122,476,87,2185,-15960,2233,1985,-2.78216,-3.78297,-9.32335,-7.75146,-27.9541,4.27246,43,30,121
2024-10-15 11:51:48.700,-0.45741,0.17735,8.20956,-2.4326,-1.81966,-7.64256,-7.01904,-17.33398,-4.88281,-182,346,66,2098,-15978,2428,1685,-2.17401,-2.31767,-8.11663,10.86426,-19.83643,5.12695,42,31,123
2024-10-15 11:51:48.800,0.06269,1.76514,10.80645,-2.95934,-3.74467,-9.85489,-7.38525,-17.33398,-5.61523,-296,-136,188,1889,-15988,2548,1659,-2.64808,-4.38155,-10.07516,19.40918,16.41846,12.57324,43,30,122
2024-10-15 11:51:48.900,0.25739,1.03631,10.16552,-2.77737,-3.06469,-9.3473,-8.05664,-16.96777,-5.61523,303,-247,-73,1987,-15943,2553,1943,-2.514,-3.6441,-9.95545,-18.06641,11.90186,-2.44141,42,32,122
2024-10-15 11:51:49.000,-0.08268,-1.10169,9.93618,-2.25063,-1.22588,-9.66334,-7.69043,-17.76123,-4.45557,326,328,-9,2200,-15933,2586,1746,-2.16444,-1.60417,-9.79263,-21.24023,-18.43262,0.91553,43,32,122
2024-10-15 11:51:49.100,-0.66107,-0.6767,8.76407,-2.39429,-1.32165,-8.38,-6.71387,-17.76123,-4.15039,-24,250,-163,2311,-15949,2536,1517,-2.2219,-1.81966,-8.99294,1.52588,-13.3667,-8.97217,41,30,122
2024-10-15 11:51:49.200,-0.47399,-0.49517,8.22638,-1.99205,-1.32165,-7.90115,-7.01904,-17.76123,-3.41797,-170,91,-196,2170,-16001,2403,1383,-1.70473,-1.70473,-8.11663,9.76562,-3.54004,-10.80322,40,30,120
2024-10-15 11:51:49.300,-0.65974,0.94674,8.43521,-2.49006,-2.4709,-7.75749,-7.01904,-17.76123,-5.24902,-391,-2,-217,1940,-16062,2201,1351,-2.35598,-3.16046,-8.24114,23.4375,2.80762,-11.65771,43,29,123
2024-10-15 11:51:49.400,-0.06864,1.9897,8.56082,-2.29852,-3.32327,-7.80538,-6.71387,-16.6626,-6.40869,-345,-216,-16,1612,-16100,2075,1520,-2.19796,-3.92184,-7.99213,19.83643,15.13672,1.40381,42,30,126
2024-10-15 11:51:49.500,-0.0145,1.32051,9.36465,-2.56668,-2.71991,-8.68647,-6.34766,-17.33398,-6.40869,-77,-267,247,1559,-16063,2194,1780,-2.37513,-3.09342,-8.62422,2.80762,17.15088,16.78467,40,31,127
2024-10-15 11:51:49.600,-0.64642,-0.04786,9.89525,-3.32327,-1.49404,-9.22279,-7.38525,-16.78467,-6.04248,314,-419,122,1776,-15986,2344,2061,-3.10778,-1.90106,-9.82137,-19.65332,26.18408,9.39941,41,30,124
2024-10-15 11:51:49.700,-0.73708,-1.14778,10.5592,-3.78297,-0.77575,-9.92193,-7.01904,-17.45605,-6.10352,38,-458,-182,1995,-15922,2264,2409,-3.41904,-1.15405,-10.61148,-1.77002,28.9917,-9.94873,42,31,122
2024-10-15 11:51:49.800,0.0248,-0.73944,10.06875,-3.26581,-1.16841,-9.48138,-7.69043,-17.08984,-6.10352,-434,-185,-640,1856,-15961,1800,2647,-2.89709,-2.0112,-10.00812,26.55029,14.4043,-38.14697,43,29,124
2024-10-15 11:51:49.900,1.2224,1.66137,9.85258,-2.29852,-3.41904,-9.18449,-7.38525,-16.78467,-6.71387,-385,26,-645,1546,-16052,1131,2667,-2.35598,-4.33366,-9.15575,20.32471,0.79346,-35.52246,42,28,123
2024-10-15 11:51:50.000,0.68731,2.40163,9.82614,-2.5571,-4.05113,-8.93548,-5.24902,-17.08984,-7.56836,20,251,-203,1500,-16101,847,2493,-2.57625,-4.41985,-9.05041,-3.11279,-13.91602,-9.64355,42,28,126
2024-10-15 11:51:50.100,0.05251,-0.41155,9.6304,-2.61456,-1.37911,-9.17491,-5.24902,-16.35742,-7.99561,210,274,-25,1653,-16122,865,2242,-2.30809,-1.67121,-9.5963,-12.146,-14.64844,-1.09863,41,28,127
2024-10-15 11:51:50.200,-0.0545,-0.6708,8.73697,-2.26978,-1.04391,-8.39916,-4.57764,-17.08984,-7.20215,18,198,-166,1725,-16141,810,2069,-2.08782,-1.79572,-8.86844,-0.06104,-10.49805,-9.27734,43,25,127
2024-10-15 11:51:50.300,0.04098,1.11568,9.0782,-2.19317,-2.82526,-8.41831,-4.57764,-17.82227,-6.83594,-128,122,-145,1667,-16172,706,1906,-1.68079,-3.61058,-8.82055,7.62939,-4.27246,-8.17871,41,27,129
2024-10-15 11:51:50.400,0.36923,0.61645,8.84327,-1.77177,-2.27936,-8.38958,-3.11279,-17.08984,-8.36182,-32,-118,-22,1610,-16181,597,1910,-1.5515,-2.64808,-8.49493,0.91553,9.58252,0.91553,42,25,126
2024-10-15 11:51:50.500,0.3739,0.05068,8.4789,-1.79093,-1.64727,-8.131,-3.11279,-16.35742,-7.99561,-46,-183,-110,1600,-16167,539,2052,-1.46052,-2.11176,-8.52845,2.62451,12.69531,-5.79834,40,27,127
2024-10-15 11:51:50.600,0.23929,0.41198,9.12317,-2.16444,-2.11655,-8.61943,-3.479,-17.08984,-7.20215,-88,-179,-206,1592,-16162,362,2138,-1.95853,-2.64329,-9.04562,5.06592,13.48877,-11.16943,41,25,126
2024-10-15 11:51:50.700,0.4133,0.30203,9.61128,-2.26978,-2.08782,-9.11745,-3.11279,-17.45605,-8.36182,-63,-226,-240,1553,-16147,135,2296,-2.0543,-2.62414,-9.50053,2.80762,15.44189,-12.26807,42,25,127
2024-10-15 11:51:50.800,0.29394,0.48956,9.59264,-2.45175,-2.33682,-8.99294,-3.11279,-16.35742,-8.78906,-66,-195,-151,1593,-16129,-87,2396,-2.29852,-2.83005,-9.39518,4.02832,13.06152,-6.5918,43,27,128
2024-10-15 11:51:50.900,0.29812,0.26085,9.77554,-2.57625,-2.17401,-9.18449,-3.11279,-16.11328,-7.56836,-41,-112,-41,1603,-16116,-193,2468,-2.42302,-2.78216,-9.65855,2.13623,7.26318,-0.54932,41,26,128
2024-10-15 11:51:51.000,0.38347,0.03046,9.96553,-2.5571,-1.98247,-9.43349,-3.11279,-17.08984,-8.36182,-21,46,-7,1597,-16117,-221,2466,-2.31288,-2.48527,-9.98418,0.91553,-4.02832,0.24414,41,24,127
2024-10-15 11:51:51.100,0.20642,0.11017,10.53452,-2.67202,-2.16444,-9.96023,-2.80762,-17.08984,-9.46045,-47,286,-86,1588,-16143,-250,2295,-2.36077,-2.66724,-10.53007,3.90625,-18.43262,-5.7373,42,23,129
2024-10-15 11:51:51.200,0.39382,0.38284,10.30221,-1.91543,-2.33682,-9.86446,-2.80762,-16.11328,-8.36182,-100,576,-161,1544,-16197,-336,1900,-1.47967,-3.07905,-10.12783,5.92041,-36.43799,-9.58252,40,25,128
2024-10-15 11:51:51.300,0.68435,0.7982,9.50513,-0.64167,-2.58583,-9.18449,-1.0376,-16.35742,-8.78906,110,878,-167,1556,-16258,-417,1229,-0.10535,-3.06469,-9.24195,-9.46045,-51.87988,-10.25391,40,21,129
2024-10-15 11:51:51.400,-0.09655,-0.25534,8.44727,-0.58421,-1.61854,-8.27466,-1.0376,-16.78467,-9.46045,315,770,-136,1805,-16270,-448,511,-0.31605,-1.85797,-8.62901,-16.29639,-43.94531,-10.0708,39,21,126
2024-10-15 11:51:51.500,-0.86084,-1.00427,8.15965,-0.82363,-1.03433,-8.15973,0.85449,-17.45605,-8.36182,52,441,-246,1971,-16255,-577,-36,-0.6273,-1.6329,-8.58591,-1.70898,-21.54541,-12.08496,40,19,129
2024-10-15 11:51:51.600,-0.67033,0.31024,8.94744,-0.32562,-2.42302,-8.63859,1.46484,-16.78467,-7.87354,-38,124,-57,1918,-16258,-622,-222,0.10056,-2.90188,-8.91154,2.31934,-6.22559,-2.19727,40,19,127
2024-10-15 11:51:51.700,0.15263,-0.16369,8.95924,0.47886,-1.90585,-8.74394,1.15967,-16.78467,-7.87354,39,-87,-3,1924,-16255,-666,-234,0.74702,-2.40386,-9.05998,-2.80762,6.28662,1.46484,41,18,128
2024-10-15 11:51:51.800,0.74131,-0.21767,8.95802,0.92898,-1.87712,-8.74394,1.46484,-17.45605,-8.66699,119,-176,204,1979,-16253,-590,-117,1.26897,-2.40386,-9.06477,-7.50732,11.23047,14.34326,41,19,127
2024-10-15 11:51:51.900,0.20983,-0.52065,9.23836,0.22985,-1.73346,-9.08871,0.85449,-16.78467,-7.08008,-1,-84,323,2008,-16256,-359,6,0.59378,-2.16444,-9.42391,-0.18311,5.67627,21.11816,42,22,128
2024-10-15 11:51:52.000,-0.2603,-0.32608,9.48422,-0.38309,-1.96332,-9.28026,-0.24414,-17.45605,-7.08008,-29,-92,327,1982,-16263,-64,112,0.04789,-2.48527,-9.60109,1.40381,6.28662,21.3623,42,20,126
2024-10-15 11:51:52.100,-0.21469,-0.07982,9.51536,-0.52674,-2.17401,-9.25153,-0.54932,-17.08984,-7.50732,-10,-112,271,1960,-16263,174,251,-0.13408,-2.64329,-9.61067,0.42725,7.56836,18.24951,42,23,127
2024-10-15 11:51:52.200,0.03983,0.27206,9.52313,-0.44055,-2.52837,-9.17491,-1.2207,-17.45605,-7.08008,26,-90,247,1970,-16257,385,360,0.05267,-3.03596,-9.51011,-1.58691,6.10352,16.96777,44,23,127
2024-10-15 11:51:52.300,0.05721,0.26906,9.41804,-0.52674,-2.56668,-9.05041,-0.54932,-17.82227,-7.56836,61,-33,264,2035,-16241,570,426,-0.16281,-3.11736,-9.37603,-4.02832,2.62451,17.39502,41,24,127
2024-10-15 11:51:52.400,0.02889,-0.25168,9.45786,-0.59378,-2.06866,-9.21322,-2.31934,-17.45605,-5.61523,-35,-24,236,2041,-16230,794,464,-0.24422,-2.61456,-9.55799,1.77002,1.89209,15.80811,41,24,126
2024-10-15 11:51:52.500,0.17164,-0.04721,9.56302,-0.53632,-2.21232,-9.28983,-2.68555,-17.08984,-7.87354,-52,-22,188,1964,-16229,979,497,-0.11014,-2.73906,-9.5149,3.11279,2.01416,13.12256,42,25,128
2024-10-15 11:51:52.600,0.13417,0.30877,9.44432,-0.66082,-2.53794,-9.07914,-3.41797,-17.45605,-6.40869,40,-7,76,1983,-16218,1100,527,-0.30647,-3.07426,-9.35687,-2.68555,1.58691,6.22559,41,25,127
2024-10-15 11:51:52.700,-0.06405,-0.01335,9.50562,-0.82363,-2.26978,-9.19406,-2.31934,-17.45605,-7.87354,35,15,83,2034,-16207,1163,518,-0.42139,-2.8061,-9.62982,-2.56348,0.0,6.5918,41,24,126
2024-10-15 11:51:52.800,0.02824,0.00819,9.43691,-0.74702,-2.27936,-9.12702,-2.68555,-17.45605,-6.40869,-25,-10,14,2029,-16205,1199,529,-0.35435,-2.78695,-9.4287,1.2207,1.95312,2.38037,43,26,126
2024-10-15 11:51:52.900,0.22452,0.31203,9.33804,-0.59378,-2.57625,-8.96421,-3.78418,-17.82227,-6.40869,-12,-27,-21,2029,-16205,1201,535,-0.17239,-3.11257,-9.19406,0.48828,2.92969,0.30518,43,25,125
2024-10-15 11:51:53.000,0.0063,0.09859,9.26202,-0.75659,-2.35598,-8.9259,-2.68555,-17.45605,-7.08008,14,3,-16,2060,-16202,1190,519,-0.39266,-2.81568,-9.31857,-1.2207,1.2207,0.42725,41,25,126
2024-10-15 11:51:53.100,-0.18703,-0.10799,9.31811,-0.93856,-2.14528,-9.02167,-2.99072,-17.45605,-6.71387,-10,-34,-41,2062,-16203,1161,535,-0.53153,-2.61456,-9.38561,0.18311,3.54004,-0.85449,43,25,126
2024-10-15 11:51:53.200,0.11808,0.16779,9.65054,-0.72786,-2.51879,-9.28983,-2.99072,-17.08984,-6.71387,-1,-39,-7,2048,-16207,1127,564,-0.39266,-3.103,-9.64898,-0.24414,3.72314,1.2207,42,25,127
2024-10-15 11:51:53.300,0.31872,0.71064,9.28078,-0.62251,-3.06469,-8.77267,-2.99072,-17.45605,-7.08008,203,-1,137,2131,-16191,1177,598,-0.41661,-3.70157,-9.0121,-12.39014,0.73242,10.13184,41,26,126
2024-10-15 11:51:53.400,0.2159,-0.966,9.11517,-0.48843,-1.56108,-9.02167,-3.41797,-17.45605,-6.04248,148,26,385,2272,-16151,1439,580,-0.10535,-1.85797,-9.34251,-8.97217,-1.28174,24.71924,41,29,124
2024-10-15 11:51:53.500,-0.4151,-0.66189,8.8847,-1.17799,-1.74304,-8.66732,-4.08936,-17.82227,-6.71387,86,30,410,2366,-16106,1754,592,-1.01518,-2.30809,-9.11266,-5.18799,-1.28174,26.24512,42,28,124
2024-10-15 11:51:53.600,-0.12976,0.08273,9.2289,-1.24503,-2.58583,-8.77267,-4.88281,-17.45605,-6.10352,11,-79,419,2393,-16058,2097,684,-0.99602,-3.11736,-9.1366,-0.54932,5.12695,27.03857,43,29,125
2024-10-15 11:51:53.700,-0.01231,0.10864,9.46972,-1.38869,-2.62414,-8.99294,-5.12695,-17.45605,-5.37109,-38,-101,516,2368,-16000,2478,826,-1.17799,-3.17482,-9.35209,2.0752,6.28662,33.08105,42,30,123
2024-10-15 11:51:53.800,-0.09694,0.01447,9.49029,-1.70473,-2.40386,-9.02167,-6.5918,-18.12744,-6.10352,-10,-131,523,2339,-15919,2921,1001,-1.31207,-2.86357,-9.37603,0.24414,8.17871,32.77588,41,32,121
2024-10-15 11:51:53.900,-0.00154,-0.24953,9.25394,-1.71431,-2.06866,-8.85886,-7.56836,-16.35742,-6.04248,7,-146,258,2334,-15850,3224,1175,-1.2977,-2.57625,-9.2611,-1.2207,9.27734,16.47949,41,32,123
2024-10-15 11:51:54.000,0.28847,0.41245,9.61746,-1.96332,-2.8923,-8.97379,-8.36182,-16.35742,-6.83594,114,-202,78,2409,-15803,3342,1320,-1.68558,-3.54833,-9.22758,-7.56836,13.30566,6.16455,40,34,119
